date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:10:56	246/246	---M-Z	200	added ('OK')	text/plain	etag:%221c2-6326c76305640-gzip%22	https://www.ionos.com/robots.txt		(from )
20:10:56	579303/579303	---M-Z	200	added ('OK')	text/html	etag:%228d6e7-6326c76305640-gzip%22	https://www.ionos.com/	C:/Users/Lenovo/Downloads/homework/ionos/www.ionos.com/index.html	(from )
20:10:58	27545/27545	---M--	200	added ('OK')	image/avif	etag:%226b99-62d64be8aa240%22	https://www.ionos.com/avif/user_upload/Brand_Home_Stage_WordPress_US.png.avif	C:/Users/Lenovo/Downloads/homework/ionos/www.ionos.com/avif/user_upload/Brand_Home_Stage_WordPress_US.png.avif	(from https://www.ionos.com/)
20:10:58	18668/18668	---M--	200	added ('OK')	font/woff2	etag:%2248ec-6326c76305640%22	https://www.ionos.com/fonts/opensans-regular.woff2	C:/Users/Lenovo/Downloads/homework/ionos/www.ionos.com/fonts/opensans-regular.woff2	(from https://www.ionos.com/)
20:10:58	18596/18596	---M--	200	added ('OK')	font/woff2	etag:%2248a4-6326c76305640%22	https://www.ionos.com/fonts/opensans-semibold.woff2	C:/Users/Lenovo/Downloads/homework/ionos/www.ionos.com/fonts/opensans-semibold.woff2	(from https://www.ionos.com/)
20:10:58	18260/18260	---M--	200	added ('OK')	font/woff2	etag:%224754-6326c76305640%22	https://www.ionos.com/fonts/opensans-bold.woff2	C:/Users/Lenovo/Downloads/homework/ionos/www.ionos.com/fonts/opensans-bold.woff2	(from https://www.ionos.com/)
20:10:58	35136/35136	---M--	200	added ('OK')	font/woff2	etag:%228940-6326c76305640%22	https://www.ionos.com/fonts/overpass-regular.woff2	C:/Users/Lenovo/Downloads/homework/ionos/www.ionos.com/fonts/overpass-regular.woff2	(from https://www.ionos.com/)
20:10:59	33252/33252	---M--	200	added ('OK')	font/woff2	etag:%2281e4-6326c76305640%22	https://www.ionos.com/fonts/overpass-semibold.woff2	C:/Users/Lenovo/Downloads/homework/ionos/www.ionos.com/fonts/overpass-semibold.woff2	(from https://www.ionos.com/)
20:11:02	174863/174863	---M-Z	200	added ('OK')	application/javascript	etag:%222ab0f-6326c76305640-gzip%22	https://www.ionos.com/js/at_visitor.min.js	C:/Users/Lenovo/Downloads/homework/ionos/www.ionos.com/js/at_visitor.min.js	(from https://www.ionos.com/)
20:11:02	111262/111262	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267f7d2f7-1b29e%22	http://p62505n26x.kameleoon.io/kameleoon.js	C:/Users/Lenovo/Downloads/homework/ionos/p62505n26x.kameleoon.io/kameleoon.js	(from https://www.ionos.com/)
